"Story","Title","Result","Date","Stability","Duration (s)"
"Create an auth token","Successfully create an auth token","SUCCESS","2023-01-17T16:17:17.80694-03:00[America/Argentina/Mendoza]","0.0","6.33"
"Create an auth token","Invalid credentials","FAILURE","2023-01-17T16:17:24.162484-03:00[America/Argentina/Mendoza]","0.0","1.01"
"Create a new booking","Successfully create a new booking","SUCCESS","2023-01-17T16:17:25.280849-03:00[America/Argentina/Mendoza]","0.0","1.07"
"Create a new booking","Invalid booking information","FAILURE","2023-01-17T16:17:26.356788-03:00[America/Argentina/Mendoza]","0.0","0.95"
"Create a new booking","Successfully create a new booking with XML body","FAILURE","2023-01-17T16:17:27.312618-03:00[America/Argentina/Mendoza]","0.0","1.11"
"Create a new booking","Successfully create a new booking with URL-encoded body","FAILURE","2023-01-17T16:17:28.433876-03:00[America/Argentina/Mendoza]","0.0","0.98"
"Delete a booking","Successfully delete a booking","SUCCESS","2023-01-17T16:17:29.42491-03:00[America/Argentina/Mendoza]","0.0","0.97"
"Delete a booking","Successfully delete a booking with cookie","FAILURE","2023-01-17T16:17:30.405602-03:00[America/Argentina/Mendoza]","0.0","0.99"
"Delete a booking","Invalid booking id","FAILURE","2023-01-17T16:17:31.406983-03:00[America/Argentina/Mendoza]","0.0","1.22"
"Delete a booking","Unauthorized access","FAILURE","2023-01-17T16:17:32.635544-03:00[America/Argentina/Mendoza]","0.0","0.88"
"GetBookingIds","Successfully retrieve all booking IDs","SUCCESS","2023-01-17T16:17:33.52946-03:00[America/Argentina/Mendoza]","0.0","1.67"
"GetBookingIds","Successfully retrieve filtered booking IDs by Last name","SUCCESS","2023-01-17T16:17:35.20669-03:00[America/Argentina/Mendoza]","0.0","1.48"
"GetBookingIds","Successfully retrieve filtered booking IDs by First name","SUCCESS","2023-01-17T16:17:36.689695-03:00[America/Argentina/Mendoza]","0.0","1.26"
"GetBookingIds","Successfully retrieve filtered booking IDs by First and Last name","SUCCESS","2023-01-17T16:17:37.9591-03:00[America/Argentina/Mendoza]","0.0","1.21"
"GetBookingIds","Successfully retrieve filtered booking IDs by Checkin date","SUCCESS","2023-01-17T16:17:39.170862-03:00[America/Argentina/Mendoza]","0.0","0.93"
"GetBookingIds","Successfully retrieve filtered booking IDs by Checkout date","SUCCESS","2023-01-17T16:17:40.106916-03:00[America/Argentina/Mendoza]","0.0","1.37"
"GetBookingById","Successfully retrieve a specific booking","FAILURE","2023-01-17T16:17:41.480441-03:00[America/Argentina/Mendoza]","0.0","1.04"
"GetBookingById","Invalid booking id","SUCCESS","2023-01-17T16:17:42.525915-03:00[America/Argentina/Mendoza]","0.0","0.88"
"GetBookingById","Empty search","SUCCESS","2023-01-17T16:17:43.413236-03:00[America/Argentina/Mendoza]","0.0","0.85"
"Update a current booking with a partial payload","Successfully update a current booking with a partial payload","FAILURE","2023-01-17T16:17:44.267043-03:00[America/Argentina/Mendoza]","0.0","1.22"
"Update a current booking with a partial payload","Invalid booking id","FAILURE","2023-01-17T16:17:45.501046-03:00[America/Argentina/Mendoza]","0.0","0.87"
"Update a current booking with a partial payload","Invalid partial payload","FAILURE","2023-01-17T16:17:46.380112-03:00[America/Argentina/Mendoza]","0.0","0.88"
"Update a current booking with a partial payload","Unauthorized access","FAILURE","2023-01-17T16:17:47.275025-03:00[America/Argentina/Mendoza]","0.0","0.87"
"Update a current booking with a partial payload","Successfully update a current booking with a partial payload in XML format","SUCCESS","2023-01-17T16:17:48.146643-03:00[America/Argentina/Mendoza]","0.0","0.86"
"Update a current booking with a partial payload","Successfully update a current booking with a partial payload in URL-encoded format","FAILURE","2023-01-17T16:17:49.011337-03:00[America/Argentina/Mendoza]","0.0","0.82"
"Update a current booking","Successfully update a current booking","FAILURE","2023-01-17T16:17:49.841151-03:00[America/Argentina/Mendoza]","0.0","0.98"
"Update a current booking","Invalid booking id","FAILURE","2023-01-17T16:17:50.827543-03:00[America/Argentina/Mendoza]","0.0","1.01"
"Update a current booking","Invalid booking information","FAILURE","2023-01-17T16:17:51.841989-03:00[America/Argentina/Mendoza]","0.0","1.35"
"Update a current booking","Unauthorized access","FAILURE","2023-01-17T16:17:53.199547-03:00[America/Argentina/Mendoza]","0.0","1.32"
"Update a current booking","Successfully update a current booking with XML body","FAILURE","2023-01-17T16:17:54.522887-03:00[America/Argentina/Mendoza]","0.0","0.94"
"Update a current booking","Successfully update a current booking with URL-encoded body","FAILURE","2023-01-17T16:17:55.466713-03:00[America/Argentina/Mendoza]","0.0","1.0"
"Health check","Successfully perform a health check","SUCCESS","2023-01-17T16:17:56.471123-03:00[America/Argentina/Mendoza]","0.0","1.0"
